"","Price"
"6/21/2024 0:00","64097.29"
"6/20/2024 0:00","64881.08"
"6/19/2024 0:00","64950.06"
"6/18/2024 0:00","65098.92"
"6/17/2024 0:00","66491.14"
"6/16/2024 0:00","66661.05"
"6/15/2024 0:00","66198.06"
"6/14/2024 0:00","66052.46"
"6/13/2024 0:00","66771.55"
"6/12/2024 0:00","68270.22"
"6/11/2024 0:00","67345.04"
"6/10/2024 0:00","69519.27"
"6/9/2024 0:00","69657.34"
"6/8/2024 0:00","69316.65"
"6/7/2024 0:00","69375.8"
"6/6/2024 0:00","70783.1"
"6/5/2024 0:00","71131.93"
"6/4/2024 0:00","70599"
"6/3/2024 0:00","68808.7"
"6/2/2024 0:00","67781.47"
"6/1/2024 0:00","67747.95"
"5/31/2024 0:00","67576.21"
"5/30/2024 0:00","68375.98"
"5/29/2024 0:00","67665.53"
"5/28/2024 0:00","68397.44"
"5/27/2024 0:00","69446.22"
"5/26/2024 0:00","68552.6"
"5/25/2024 0:00","69264.99"
"5/24/2024 0:00","68534.95"
"5/23/2024 0:00","67923.97"
"5/22/2024 0:00","69224.99"
"5/21/2024 0:00","70104.4"
"5/20/2024 0:00","71418.17"
"5/19/2024 0:00","66347.05"
"5/18/2024 0:00","66914.58"
"5/17/2024 0:00","67004.04"
"5/16/2024 0:00","65249.97"
"5/15/2024 0:00","66247.62"
"5/14/2024 0:00","61602.22"
"5/13/2024 0:00","62917.18"
"5/12/2024 0:00","61549.96"
"5/11/2024 0:00","60784.24"
"5/10/2024 0:00","60887.95"
"5/9/2024 0:00","63110.01"
"5/8/2024 0:00","61220.05"
"5/7/2024 0:00","62380.43"
"5/6/2024 0:00","63197.19"
"5/5/2024 0:00","64040.05"
"5/4/2024 0:00","63880.04"
"5/3/2024 0:00","62799.97"
"5/2/2024 0:00","59134.5"
"5/1/2024 0:00","58266.04"
"4/30/2024 0:00","60761.95"
"4/29/2024 0:00","63817.97"
"4/28/2024 0:00","63059.25"
"4/27/2024 0:00","63483.13"
"4/26/2024 0:00","63806.23"
"4/25/2024 0:00","64495.27"
"4/24/2024 0:00","64291.07"
"4/23/2024 0:00","66386.61"
"4/22/2024 0:00","66818.89"
"4/21/2024 0:00","64896.87"
"4/20/2024 0:00","64857.99"
"4/19/2024 0:00","63965.95"
"4/18/2024 0:00","63418"
"4/17/2024 0:00","61309.97"
"4/16/2024 0:00","63679.78"
"4/15/2024 0:00","63496.91"
"4/14/2024 0:00","65582.95"
"4/13/2024 0:00","64255.94"
"4/12/2024 0:00","67208.21"
"4/11/2024 0:00","70112.05"
"4/10/2024 0:00","70513.6"
"4/9/2024 0:00","69198.22"
"4/8/2024 0:00","71631.77"
"4/7/2024 0:00","69388.74"
"4/6/2024 0:00","68904.86"
"4/5/2024 0:00","67928.77"
"4/4/2024 0:00","68461.23"
"4/3/2024 0:00","66074.16"
"4/2/2024 0:00","65448.35"
"4/1/2024 0:00","69731.26"
"3/31/2024 0:00","71216.98"
"3/30/2024 0:00","69674.78"
"3/29/2024 0:00","69850.52"
"3/28/2024 0:00","70702.74"
"3/27/2024 0:00","69529.85"
"3/26/2024 0:00","70059.97"
"3/25/2024 0:00","69901.99"
"3/24/2024 0:00","67246.83"
"3/23/2024 0:00","64238.03"
"3/22/2024 0:00","63567.63"
"3/21/2024 0:00","65476.17"
"3/20/2024 0:00","67854.02"
"3/19/2024 0:00","61981.15"
"3/18/2024 0:00","67711.55"
"3/17/2024 0:00","68650.08"
"3/16/2024 0:00","65286.52"
