,Price
2024/07/14 00:00:00,60946.020
2024/07/13 00:00:00,59174.190
2024/07/12 00:00:00,57899.960
2024/07/11 00:00:00,57381.960
2024/07/10 00:00:00,57719.470
2024/07/09 00:00:00,57995.990
2024/07/08 00:00:00,56681.810
2024/07/07 00:00:00,55878.380
2024/07/06 00:00:00,58232.990
2024/07/05 00:00:00,56691.340
2024/07/04 00:00:00,57142.000
2024/07/03 00:00:00,60294.750
2024/07/02 00:00:00,62127.950
2024/07/01 00:00:00,62889.920
2024/06/30 00:00:00,62849.530
2024/06/29 00:00:00,60964.170
2024/06/28 00:00:00,60427.860
2024/06/27 00:00:00,61646.050
2024/06/26 00:00:00,60761.240
2024/06/25 00:00:00,61789.980
2024/06/24 00:00:00,60382.810
2024/06/23 00:00:00,63290.430
2024/06/22 00:00:00,64272.800
2024/06/21 00:00:00,64097.290
2024/06/20 00:00:00,64881.080
2024/06/19 00:00:00,64950.060
2024/06/18 00:00:00,65098.920
2024/06/17 00:00:00,66491.140
2024/06/16 00:00:00,66661.050
2024/06/15 00:00:00,66198.060
2024/06/14 00:00:00,66052.460
2024/06/13 00:00:00,66771.550
2024/06/12 00:00:00,68270.220
2024/06/11 00:00:00,67345.040
2024/06/10 00:00:00,69519.270
2024/06/09 00:00:00,69657.340
2024/06/08 00:00:00,69316.650
2024/06/07 00:00:00,69375.800
2024/06/06 00:00:00,70783.100
2024/06/05 00:00:00,71131.930
2024/06/04 00:00:00,70599.000
2024/06/03 00:00:00,68808.700
2024/06/02 00:00:00,67781.470
2024/06/01 00:00:00,67747.950
2024/05/31 00:00:00,67576.210
2024/05/30 00:00:00,68375.980
2024/05/29 00:00:00,67665.530
2024/05/28 00:00:00,68397.440
2024/05/27 00:00:00,69446.220
2024/05/26 00:00:00,68552.600
2024/05/25 00:00:00,69264.990
2024/05/24 00:00:00,68534.950
2024/05/23 00:00:00,67923.970
2024/05/22 00:00:00,69224.990
2024/05/21 00:00:00,70104.400
2024/05/20 00:00:00,71418.170
2024/05/19 00:00:00,66347.050
2024/05/18 00:00:00,66914.580
2024/05/17 00:00:00,67004.040
2024/05/16 00:00:00,65249.970
2024/05/15 00:00:00,66247.620
2024/05/14 00:00:00,61602.220
2024/05/13 00:00:00,62917.180
2024/05/12 00:00:00,61549.960
2024/05/11 00:00:00,60784.240
2024/05/10 00:00:00,60887.950
2024/05/09 00:00:00,63110.010
2024/05/08 00:00:00,61220.050
2024/05/07 00:00:00,62380.430
2024/05/06 00:00:00,63197.190
2024/05/05 00:00:00,64040.050
2024/05/04 00:00:00,63880.040
2024/05/03 00:00:00,62799.970
2024/05/02 00:00:00,59134.500
2024/05/01 00:00:00,58266.040
2024/04/30 00:00:00,60761.950
2024/04/29 00:00:00,63817.970
2024/04/28 00:00:00,63059.250
2024/04/27 00:00:00,63483.130
2024/04/26 00:00:00,63806.230
2024/04/25 00:00:00,64495.270
2024/04/24 00:00:00,64291.070
2024/04/23 00:00:00,66386.610
2024/04/22 00:00:00,66818.890
2024/04/21 00:00:00,64896.870
2024/04/20 00:00:00,64857.990
2024/04/19 00:00:00,63965.950
2024/04/18 00:00:00,63418.000
2024/04/17 00:00:00,61309.970
2024/04/16 00:00:00,63679.780
2024/04/15 00:00:00,63496.910
2024/04/14 00:00:00,65582.950
2024/04/13 00:00:00,64255.940
2024/04/12 00:00:00,67208.210
2024/04/11 00:00:00,70112.050
2024/04/10 00:00:00,70513.600
2024/04/09 00:00:00,69198.220
2024/04/08 00:00:00,71631.770
2024/04/07 00:00:00,69388.740
2024/04/06 00:00:00,68904.860
2024/04/05 00:00:00,67928.770
2024/04/04 00:00:00,68461.230
2024/04/03 00:00:00,66074.160
2024/04/02 00:00:00,65448.350
2024/04/01 00:00:00,69731.260
2024/03/31 00:00:00,71216.980
2024/03/30 00:00:00,69674.780
2024/03/29 00:00:00,69850.520
2024/03/28 00:00:00,70702.740
2024/03/27 00:00:00,69529.850
2024/03/26 00:00:00,70059.970
2024/03/25 00:00:00,69901.990
2024/03/24 00:00:00,67246.830
2024/03/23 00:00:00,64238.030
2024/03/22 00:00:00,63567.630
2024/03/21 00:00:00,65476.170
2024/03/20 00:00:00,67854.020
2024/03/19 00:00:00,61981.150
2024/03/18 00:00:00,67711.550
2024/03/17 00:00:00,68650.080
2024/03/16 00:00:00,65286.520
2024/03/15 00:00:00,69532.180
2024/03/14 00:00:00,71432.390
2024/03/13 00:00:00,73087.950
2024/03/12 00:00:00,71473.860
2024/03/11 00:00:00,72094.440
2024/03/10 00:00:00,68949.740
2024/03/09 00:00:00,68513.590
2024/03/08 00:00:00,68202.870
2024/03/07 00:00:00,66903.820
2024/03/06 00:00:00,66137.130
2024/03/05 00:00:00,63971.070
2024/03/04 00:00:00,68208.360
2024/03/03 00:00:00,63099.990
2024/03/02 00:00:00,62004.020
2024/03/01 00:00:00,62481.070
2024/02/29 00:00:00,61256.010
2024/02/28 00:00:00,62497.280
2024/02/27 00:00:00,57029.240
